Starting instrumented solve...
Solve Time: 0.6994s
Residual Calls: 1
Jacobian Calls: 5
Success: True
         829327 function calls (806698 primitive calls) in 1.149 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     7601    0.003    0.000    0.005    0.000 _docscrape.py:57(seek_next_non_empty_line)
       77    0.000    0.000    0.005    0.000 dataclasses.py:449(_create_fn)
        1    0.000    0.000    0.005    0.005 _root.py:1(<module>)
    52974    0.005    0.000    0.005    0.000 {method 'strip' of 'str' objects}
      284    0.001    0.000    0.005    0.000 overrides.py:142(decorator)
    28152    0.003    0.000    0.005    0.000 _docscrape.py:64(eof)
     1286    0.000    0.000    0.005    0.000 _docscrape.py:85(read_to_next_unindented_line)
        2    0.000    0.000    0.005    0.002 _add_newdocs.py:1(<module>)
       21    0.000    0.000    0.005    0.000 dataclasses.py:1247(dataclass)
     3799    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
        1    0.000    0.000    0.005    0.005 distance.py:1(<module>)
        1    0.000    0.000    0.005    0.005 fromnumeric.py:1(<module>)
    40179    0.005    0.000    0.005    0.000 {method 'startswith' of 'str' objects}
      321    0.000    0.000    0.005    0.000 function_base.py:502(add_newdoc)
        1    0.000    0.000    0.005    0.005 _codata.py:1(<module>)
      231    0.004    0.000    0.005    0.000 {built-in method builtins.eval}
     1020    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:632(cached)
3267/3178    0.002    0.000    0.004    0.000 {built-in method __new__ of type object at 0x106ea3f68}
     1544    0.001    0.000    0.004    0.000 __init__.py:179(sub)
        2    0.000    0.000    0.004    0.002 _helper.py:1(<module>)
      477    0.004    0.000    0.004    0.000 {method 'read' of '_io.BufferedReader' objects}
      543    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:615(_get_cached)
    12941    0.003    0.000    0.004    0.000 {method 'join' of 'str' objects}
    18117    0.002    0.000    0.004    0.000 _docscrape.py:80(is_empty)
     1009    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:162(__enter__)
      477    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1206(path_stats)
        1    0.000    0.000    0.004    0.004 format.py:1(<module>)
        1    0.000    0.000    0.004    0.004 __init__.py:464(version)
        1    0.000    0.000    0.004    0.004 __init__.py:436(metadata)
       20    0.000    0.000    0.004    0.000 enum.py:528(__new__)
        1    0.000    0.000    0.003    0.003 _globals.py:1(<module>)
       57    0.003    0.000    0.003    0.000 {built-in method posix.listdir}
        2    0.000    0.000    0.003    0.002 _internal.py:1(<module>)
      118    0.000    0.000    0.003    0.000 inspect.py:3346(signature)
    71/69    0.000    0.000    0.003    0.000 typing.py:515(__getitem__)
      118    0.000    0.000    0.003    0.000 inspect.py:3081(from_callable)
        1    0.000    0.000    0.003    0.003 _testutils.py:1(<module>)
     9025    0.002    0.000    0.003    0.000 _docscrape.py:91(peek)
     2520    0.002    0.000    0.003    0.000 _docscrape.py:475(_str_param_list)
        1    0.000    0.000    0.003    0.003 __init__.py:31(message_from_string)
    35107    0.003    0.000    0.003    0.000 {method 'append' of 'list' objects}
  133/118    0.000    0.000    0.003    0.000 inspect.py:2501(_signature_from_callable)
        1    0.000    0.000    0.003    0.003 _minpack_py.py:1(<module>)
       51    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1648(_fill_cache)
       69    0.000    0.000    0.003    0.000 typing.py:694(Union)
        1    0.000    0.000    0.003    0.003 _misc.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _pep440.py:1(<module>)
